PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
2xib	Kd	7.259	0.500	0.242
3p5o	Kd	7.258	0.984	0.564
3o84	Kd	7.237	0.793	0.282
3kyq	Kd	4.222	0.500	0.225
2xdl	Kd	3.102	0.975	0.467
2xii	Kd	7.199	0.890	0.274
3ms9	Kd	5.222	0.500	0.208
3n1c	Kd	5.222	0.577	0.166
3nx7	Kd	8.103	0.948	0.523
2wvt	Kd	6.122	0.500	0.174
3oyw	Kd	4.108	0.722	0.300
3hub	Kd	8.086	0.973	0.483
3k8o	Kd	11.066	0.634	0.260
3hky	Kd	7.097	0.875	0.368
3m3c	Kd	4.064	0.651	0.325
3gy4	Kd	5.097	0.982	0.526
3i51	Ki	7.699	0.500	0.176
2xbp	Kd	5.018	0.837	0.270
3ouj	Kd	6.046	0.500	0.177
3n8k	Kd	4.046	0.901	0.181
3nq9	Kd	4.033	0.800	0.238
3nht	Kd	7.009	0.560	0.223
2xeg	Ki	10.699	0.882	0.256
2xei	Ki	10.620	0.885	0.265
3liw	Ki	7.602	0.992	0.564
3hfb	Ki	7.523	0.863	0.339
3l4u	Ki	7.523	0.651	0.200
3mxe	Ki	10.013	0.993	0.651
3i4y	Ki	7.046	0.500	0.170
3l4y	Ki	7.000	0.710	0.222
3gt9	Ki	3.959	0.739	0.405
2xda	Ki	6.222	0.773	0.238
2xmy	Ki	9.959	0.990	0.544
3iae	Ki	3.886	0.889	0.203
3l4x	Ki	6.886	0.693	0.220
2xef	Ki	9.839	0.837	0.253
3m36	Ki	9.824	0.993	0.564
3nu3	Ki	9.824	0.994	0.676
2xej	Ki	8.873	0.738	0.231
3mxd	Ki	8.833	0.994	0.641
3nuo	Ki	9.796	0.993	0.638
2xhm	Ki	6.796	0.883	0.333
3l4v	Ki	6.721	0.681	0.222
3l4z	Ki	6.721	0.698	0.207
3rf4	Ki	6.252	0.509	0.232
2wly	Ki	6.602	0.743	0.260
3hf8	Ki	6.509	0.823	0.325
2xd9	Ki	6.456	0.654	0.205
3nuj	Ki	9.387	0.992	0.657
3fvk	Ki	8.824	0.800	0.388
2xyd	Ki	6.824	0.917	0.268
3aaq	Ki	3.301	0.668	0.278
3fv1	Ki	9.301	0.853	0.405
3nu6	Ki	9.301	0.990	0.653
3lpp	Ki	6.222	0.568	0.204
2xb7	Ki	9.187	0.975	0.554
4daf	Kd	7.119	0.770	0.296
3p8z	Ki	6.086	0.864	0.437
3a2o	Ki	9.081	0.994	0.673
3fvl	Ki	6.066	0.500	0.163
3owj	Ki	6.066	0.963	0.417
3lea	Ki	9.097	0.981	0.464
3lpk	Ki	9.097	0.988	0.562
3mdz	Ki	9.097	0.802	0.350
3m37	Ki	9.041	0.993	0.564
3nu9	Ki	9.046	0.992	0.653
3l4w	Ki	6.000	0.500	0.235
3lmk	Ki	5.936	0.513	0.227
3k8c	Ki	2.921	0.534	0.193
3k37	Ki	8.921	0.858	0.306
3nu4	Ki	8.824	0.992	0.681
2wtv	Ki	8.745	0.788	0.340
2xbw	Ki	8.000	0.994	0.556
3k97	Ki	8.000	0.972	0.527
2x95	Ki	4.947	0.907	0.337
3lvw	Ki	2.674	0.600	0.264
3lir	Ki	6.924	0.954	0.486
2x8z	Ki	7.959	0.745	0.213
3mhc	Ki	7.959	0.968	0.556
3n2u	Ki	7.845	0.884	0.404
2xnb	Ki	6.827	0.990	0.556
3t6b	Kd	6.357	0.612	0.264
2xbx	Ki	7.824	0.993	0.552
3fvn	Ki	6.772	0.827	0.386
3agl	Ki	7.796	0.980	0.511
3gi4	Ki	10.796	0.993	0.640
3acw	Ki	4.757	0.855	0.297
2x09	Ki	3.757	0.698	0.210
3mi2	Ki	7.770	0.894	0.330
3ljg	Ki	7.730	0.964	0.487
2x91	Ki	6.745	0.869	0.326
2xc0	Ki	6.717	0.993	0.539
2wyj	Ki	9.000	0.991	0.570
3nox	Ki	8.658	0.880	0.225
2x97	Ki	5.658	0.897	0.315
2xj7	Ki	6.658	0.889	0.367
2x7t	Ki	6.635	0.954	0.506
3l0v	Ki	7.638	0.950	0.443
3lxe	Ki	6.602	0.731	0.256
3kr4	Ki	7.602	0.685	0.195
2wlz	Ki	4.602	0.580	0.276
2x0y	Ki	4.602	0.558	0.236
2xb8	Ki	7.585	0.936	0.293
3rdo	Kd	9.854	0.500	0.238
3hp9	Ki	4.585	0.843	0.253
3ipq	Ki	7.569	0.856	0.307
3fuz	Ki	6.538	0.882	0.415
2wyg	Ki	8.699	0.991	0.582
3i60	Ki	8.699	0.977	0.483
3i5z	Ki	8.699	0.972	0.496
3acx	Ki	5.699	0.784	0.286
3kku	Ki	5.699	0.500	0.298
3i25	Ki	8.509	0.986	0.496
3mi3	Ki	5.449	0.910	0.228
3mjl	Ki	2.444	0.789	0.181
3mfv	Ki	2.523	0.619	0.230
3mfw	Ki	3.523	0.755	0.267
2wm0	Ki	4.523	0.546	0.297
3n2v	Ki	7.509	0.962	0.510
3aas	Ki	4.509	0.988	0.566
3nyx	Ki	7.495	0.970	0.546
3hl8	Ki	4.495	0.513	0.225
2xn3	Kd	5.922	0.500	0.270
3l3l	Ki	7.481	0.930	0.343
3pd8	Ki	6.458	0.892	0.372
3own	Ki	7.469	0.884	0.376
3k5x	Ki	6.409	0.500	0.246
3lpi	Ki	8.523	0.988	0.560
3iog	Ki	5.523	0.828	0.290
3m1k	Ki	5.387	0.646	0.267
3kek	Ki	8.357	0.935	0.474
3nu5	Ki	8.347	0.994	0.673
3k4q	Ki	5.337	0.672	0.267
3ipu	Ki	7.319	0.851	0.306
4lzs	Kd	4.796	0.950	0.510
3mhw	Ki	2.298	0.962	0.546
3o5x	Ki	5.284	0.500	0.369
3i3b	Ki	2.229	0.628	0.168
3ok9	Ki	11.229	0.994	0.634
2x7u	Ki	5.272	0.927	0.514
3gta	Ki	4.276	0.800	0.419
3n3g	Ki	7.237	0.894	0.362
4d8z	Kd	6.292	0.892	0.354
3kgq	Ki	2.301	0.514	0.203
3gjw	Ki	8.301	0.933	0.338
2wzm	Ki	5.222	0.500	0.250
3l3n	Ki	8.180	0.935	0.266
3rlb	Kd	9.921	0.500	0.248
3pd9	Ki	6.222	0.878	0.352
3k99	Ki	7.222	0.971	0.495
3m35	Ki	7.222	0.994	0.525
3mz6	Ki	7.201	0.972	0.538
3nsn	Ki	7.187	0.627	0.228
3l3m	Ki	8.222	0.956	0.407
3le9	Ki	8.222	0.968	0.458
3gi6	Ki	11.222	0.993	0.648
3gi5	Ki	11.222	0.993	0.639
3iof	Ki	5.222	0.867	0.327
3fv2	Ki	8.114	0.878	0.371
3n9r	Ki	7.155	0.819	0.231
2xg9	Ki	4.155	0.766	0.316
3u5j	Kd	5.609	0.979	0.582
3n7o	Ki	7.143	0.971	0.415
3k4d	Ki	5.111	0.695	0.219
3i4b	Ki	8.155	0.940	0.447
3nxq	Ki	8.155	0.906	0.272
3ryz	Kd	8.620	0.936	0.512
3kwa	Ki	4.076	0.890	0.448
3mof	Ki	3.066	0.661	0.221
3aho	Ki	7.051	0.879	0.274
3aau	Ki	5.046	0.994	0.536
3ahn	Ki	7.045	0.859	0.272
3igp	Ki	7.025	0.891	0.455
2x96	Ki	4.027	0.865	0.328
2xc4	Ki	8.046	0.993	0.567
3ag9	Ki	8.046	0.985	0.535
3b24	Kd	4.377	0.978	0.517
3arp	Kd	7.155	0.645	0.279
3qx9	Kd	4.046	0.500	0.306
3ap4	Kd	3.921	0.786	0.407
3r1v	Kd	6.921	0.500	0.312
3uex	Kd	6.921	0.900	0.326
3s8o	Kd	6.854	0.914	0.422
3ao2	Kd	3.770	0.500	0.206
3aqt	Kd	6.721	0.500	0.173
3zyu	Kd	7.000	0.983	0.574
3b26	Kd	6.638	0.981	0.559
3ove	Kd	6.569	0.926	0.449
3o75	Kd	6.680	0.500	0.174
3s0e	Kd	6.553	0.867	0.284
3pgu	Kd	6.699	0.500	0.173
3s0b	Kd	6.495	0.787	0.285
2yki	Kd	9.456	0.985	0.553
3o9p	Kd	6.523	0.786	0.201
2x6x	Kd	3.678	0.580	0.149
3tf6	Kd	6.398	0.634	0.236
3qlm	Kd	6.366	0.500	0.221
3rdq	Kd	9.310	0.543	0.256
3uew	Kd	6.310	0.898	0.312
3arq	Kd	6.398	0.715	0.258
3rux	Kd	9.276	0.946	0.480
3s8n	Kd	6.208	0.882	0.427
3u5l	Kd	6.194	0.980	0.580
3arw	Kd	6.155	0.597	0.275
3b25	Kd	6.066	0.972	0.507
3pwm	Kd	9.097	0.993	0.639
2yay	Kd	6.097	0.551	0.203
3t1m	Kd	3.041	0.988	0.436
3alt	Kd	2.924	0.500	0.219
3rz7	Kd	8.959	0.942	0.524
3uev	Kd	5.889	0.914	0.293
3tcg	Kd	5.866	0.654	0.256
3ppr	Kd	2.824	0.734	0.226
3qqa	Kd	5.824	0.799	0.258
3rm4	Kd	5.772	0.712	0.297
2xp7	Kd	5.770	0.831	0.316
3rz1	Kd	8.745	0.941	0.521
3p9m	Kd	5.000	0.508	0.277
3pju	Kd	4.883	0.527	0.209
3pyy	Kd	6.863	0.929	0.360
2ylc	Kd	7.886	0.808	0.253
3rz5	Kd	7.886	0.872	0.460
3zyf	Kd	4.851	0.730	0.294
3ocp	Kd	7.569	0.663	0.282
3q6w	Kd	7.569	0.986	0.485
3ru1	Kd	4.848	0.971	0.511
2yb0	Kd	3.854	0.616	0.189
3s75	Kd	6.824	0.697	0.323
3ryj	Kd	7.796	0.896	0.485
3rm9	Kd	4.770	0.520	0.316
3p7i	Kd	7.701	0.586	0.177
3q6z	Kd	3.717	0.669	0.278
3td4	Kd	5.658	0.500	0.316
3s71	Kd	8.638	0.782	0.414
3s8l	Kd	5.638	0.903	0.434
3ldp	Kd	5.618	0.885	0.378
3qps	Kd	5.602	0.940	0.235
3ovn	Kd	2.553	0.500	0.163
2y7i	Kd	5.538	0.621	0.210
3ujd	Kd	4.695	0.881	0.256
2xn5	Kd	6.688	0.500	0.269
3q7q	Kd	5.647	0.971	0.501
3uj9	Kd	4.631	0.876	0.264
3sk2	Kd	3.613	0.693	0.233
3p3s	Kd	7.585	0.654	0.353
3ujc	Kd	4.585	0.859	0.258
2xj1	Kd	7.553	0.985	0.580
3rz0	Kd	7.553	0.854	0.456
3ppq	Kd	4.553	0.500	0.146
3s73	Kd	8.699	0.835	0.439
2yix	Kd	8.481	0.942	0.489
3u10	Kd	5.444	0.500	0.187
3r6u	Kd	4.516	0.500	0.247
3myq	Kd	7.523	0.966	0.525
3m6r	Kd	7.495	0.794	0.346
3ta0	Kd	3.471	0.559	0.240
3s78	Kd	6.469	0.885	0.357
3axz	Kd	3.429	0.698	0.305
3rsx	Kd	4.411	0.956	0.520
3ryy	Kd	7.420	0.822	0.440
3qkd	Kd	8.377	0.758	0.350
3arx	Kd	5.328	0.809	0.291
3pe1	Ki	9.652	0.983	0.433
3s72	Kd	6.398	0.848	0.455
3n35	Kd	3.366	0.524	0.278
2ydw	Kd	7.337	0.904	0.437
3qxv	Kd	8.398	0.832	0.348
3r24	Kd	5.253	0.833	0.284
3ueu	Kd	5.236	0.933	0.308
3ao5	Kd	2.229	0.500	0.212
2yel	Kd	7.280	0.982	0.562
3p3r	Kd	7.251	0.704	0.349
3ta1	Kd	3.246	0.609	0.216
3p3t	Kd	7.237	0.672	0.343
3zqe	Kd	4.229	0.541	0.325
3p9l	Kd	5.301	0.500	0.292
3q71	Kd	5.222	0.709	0.328
3ov1	Kd	5.204	0.870	0.413
3rz8	Kd	8.174	0.891	0.483
3ozj	Kd	5.114	0.930	0.387
3b27	Kd	5.161	0.975	0.509
3m96	Kd	7.222	0.958	0.557
2yek	Kd	7.213	0.898	0.432
3s77	Kd	7.215	0.903	0.392
2xj2	Kd	7.180	0.984	0.581
3qfd	Kd	4.167	0.867	0.322
3ppp	Kd	5.222	0.500	0.155
3qxt	Kd	5.222	0.590	0.306
3tao	Kd	5.138	0.500	0.174
3ryx	Kd	8.137	0.921	0.505
2yaz	Kd	5.137	0.771	0.207
2yk1	Kd	8.131	0.543	0.249
3mam	Kd	4.119	0.500	0.198
3o56	Kd	9.100	0.922	0.443
2ygf	Kd	5.094	0.968	0.455
3ao4	Kd	2.071	0.500	0.190
2xm1	Kd	5.071	0.860	0.365
2yge	Kd	5.064	0.962	0.444
3rlp	Kd	7.076	0.968	0.516
2xpk	Ki	11.301	0.674	0.204
3ryv	Kd	7.066	0.797	0.420
2xxt	Kd	8.046	0.625	0.315
3s76	Kd	5.046	0.871	0.382
3s0d	Kd	7.046	0.601	0.201
3po1	Kd	4.022	0.985	0.519
3zxz	Ki	8.398	0.984	0.535
3u8n	Ki	10.174	0.500	0.175
3pbb	Ki	7.022	0.941	0.336
3r4n	Ki	6.886	0.982	0.525
3mv0	Ki	3.854	0.630	0.170
3n76	Ki	6.854	0.922	0.274
3pe2	Ki	9.757	0.985	0.441
3ozp	Ki	6.620	0.799	0.212
3pb9	Ki	6.582	0.615	0.255
3qox	Ki	6.569	0.886	0.339
3ppm	Ki	9.538	0.643	0.220
3sr4	Ki	6.538	0.928	0.324
3sm2	Ki	9.699	0.500	0.243
3muz	Ki	3.456	0.695	0.149
2xog	Ki	3.432	0.886	0.357
3p8n	Ki	9.276	0.798	0.362
3nzk	Ki	9.268	0.905	0.362
4ovf	Ki	4.131	0.500	0.215
3ozg	Ki	9.187	0.683	0.214
3rwp	Ki	9.222	0.943	0.480
2ya7	Ki	3.143	0.552	0.257
3qfy	Ki	6.125	0.586	0.146
3zq9	Ki	6.022	0.553	0.273
5bs4	Kd	11.004	0.994	0.676
3r4m	Ki	5.921	0.966	0.495
2y7x	Ki	8.886	0.992	0.570
3zze	Ki	8.886	0.981	0.470
3qgw	Ki	5.886	0.900	0.407
3o9i	Ki	11.824	0.994	0.641
3oaf	Ki	8.796	0.990	0.479
2ya8	Ki	5.752	0.512	0.332
3pb7	Ki	5.741	0.843	0.317
3m3z	Ki	5.733	0.936	0.421
3p8o	Ki	8.724	0.820	0.354
3oy0	Ki	7.996	0.919	0.509
3oyq	Ki	7.987	0.890	0.466
3t82	Ki	6.996	0.863	0.297
3slz	Ki	6.991	0.517	0.283
3t83	Ki	6.979	0.781	0.347
3t84	Ki	6.975	0.783	0.263
3sio	Ki	8.000	0.673	0.190
3t85	Ki	7.947	0.864	0.291
3pn1	Ki	6.959	0.500	0.297
3o5n	Ki	4.764	0.500	0.382
3r4p	Ki	7.959	0.985	0.546
3old	Ki	5.901	0.500	0.296
3oe5	Ki	6.879	0.949	0.400
3pn4	Ki	6.854	0.859	0.379
2y5g	Ki	6.836	0.993	0.593
3ohi	Ki	4.854	0.755	0.274
3ai8	Ki	3.811	0.534	0.239
3s2v	Ki	6.804	0.806	0.360
3prs	Ki	7.824	0.904	0.387
3n2p	Ki	7.824	0.966	0.502
3o99	Ki	10.824	0.994	0.650
2y5h	Ki	5.790	0.993	0.608
3qgy	Ki	7.796	0.934	0.511
3oim	Ki	6.745	0.934	0.517
3p3g	Ki	9.745	0.865	0.305
3nb5	Ki	7.745	0.937	0.531
3o9d	Ki	10.721	0.994	0.642
3ui7	Ki	9.000	0.957	0.460
3ucj	Ki	6.000	0.574	0.222
3u8k	Ki	8.658	0.500	0.160
3rf5	Ki	5.625	0.500	0.200
3n86	Ki	5.638	0.945	0.316
3qaa	Ki	11.538	0.993	0.638
3n7a	Ki	3.699	0.843	0.233
3th9	Ki	7.699	0.993	0.666
3o9a	Ki	10.699	0.993	0.639
3oil	Ki	5.678	0.935	0.509
3mzc	Ki	6.646	0.917	0.491
3sjf	Ki	7.638	0.860	0.291
2xm2	Ki	4.620	0.856	0.365
3p58	Ki	7.595	0.801	0.420
3t8v	Ki	6.585	0.960	0.369
2xxr	Ki	6.553	0.905	0.462
3ni5	Ki	7.553	0.861	0.387
2y5f	Ki	8.699	0.993	0.597
2y81	Ki	8.699	0.992	0.569
3mmf	Ki	7.432	0.975	0.532
2y7z	Ki	8.699	0.992	0.582
2ya6	Ki	5.699	0.597	0.253
3ml5	Ki	8.523	0.822	0.386
2ydt	Ki	5.523	0.549	0.246
3tza	Ki	5.502	0.824	0.356
3u8j	Ki	8.509	0.500	0.143
3b1m	Ki	8.481	0.927	0.428
3n3j	Ki	8.481	0.960	0.512
2xyf	Ki	8.444	0.990	0.587
3str	Ki	8.402	0.946	0.397
3rlr	Ki	7.523	0.978	0.528
3sw8	Ki	4.499	0.917	0.380
3qt6	Ki	5.367	0.773	0.222
2xye	Ki	8.337	0.990	0.591
3p17	Ki	4.476	0.988	0.507
3nyd	Ki	3.481	0.676	0.255
3t01	Ki	4.481	0.500	0.170
3oe4	Ki	7.469	0.959	0.466
3ocz	Ki	7.456	0.764	0.207
3pfp	Ki	6.444	0.526	0.180
2xys	Ki	7.420	0.709	0.280
2xxx	Ki	6.409	0.908	0.463
3r17	Ki	6.409	0.925	0.502
3ldq	Ki	5.365	0.935	0.442
3t1a	Ki	8.367	0.961	0.456
3q1x	Ki	5.328	0.654	0.145
3p5l	Ki	7.389	0.900	0.489
3rlq	Ki	7.398	0.981	0.548
3u9q	Ki	4.380	0.869	0.367
3mna	Ki	7.387	0.977	0.523
3oku	Ki	6.357	0.939	0.515
3rt8	Ki	6.346	0.768	0.355
3rtf	Ki	7.347	0.827	0.412
3ozs	Ki	5.333	0.974	0.420
3pww	Ki	7.319	0.886	0.384
3q44	Ki	6.310	0.937	0.411
2y82	Ki	8.398	0.992	0.568
3sww	Ki	8.398	0.802	0.213
3pb8	Ki	5.240	0.721	0.266
2xyt	Ki	6.293	0.694	0.237
3n0n	Ki	7.301	0.961	0.535
3r16	Ki	7.301	0.912	0.495
3tfu	Ki	3.284	0.715	0.333
3o7u	Ki	7.284	0.909	0.203
3qfz	Ki	3.244	0.569	0.155
3rv4	Ki	2.301	0.853	0.253
3o9e	Ki	11.301	0.994	0.658
3st5	Ki	11.301	0.993	0.655
3pgl	Ki	5.301	0.500	0.264
3roc	Ki	8.194	0.952	0.449
3q2j	Ki	4.180	0.723	0.227
3ps1	Ki	10.174	0.919	0.335
3ljz	Ki	8.137	0.947	0.447
3s9e	Ki	5.129	0.937	0.434
3ozr	Ki	5.154	0.868	0.381
3ozt	Ki	4.126	0.952	0.412
2x2r	Ki	7.118	0.947	0.402
3tu7	Ki	8.088	0.992	0.494
2yfx	Ki	8.086	0.963	0.484
3u8l	Ki	8.051	0.500	0.223
3po6	Ki	7.059	0.901	0.450
3p4v	Ki	5.097	0.858	0.446
3n4b	Ki	7.018	0.949	0.524
2y80	Ki	8.046	0.992	0.568
3ml2	Ki	8.046	0.931	0.487
4b74	Kd	7.658	0.716	0.244
4asj	Kd	7.553	0.786	0.406
3uug	Kd	4.509	0.500	0.250
4dy6	Kd	4.398	0.830	0.201
4b73	Kd	7.208	0.733	0.235
4arw	Kd	7.131	0.768	0.343
4fcq	Kd	6.996	0.981	0.566
4dew	Kd	7.000	0.690	0.314
3v3q	Kd	6.602	0.713	0.218
4dkq	Kd	6.602	0.980	0.458
4h75	Kd	6.602	0.754	0.329
4db7	Kd	6.564	0.878	0.303
4a4v	Kd	6.542	0.920	0.423
4aqh	Kd	6.538	0.500	0.284
4ewn	Kd	6.699	0.549	0.247
4dkr	Kd	6.523	0.982	0.461
4b5s	Kd	3.495	0.500	0.132
4dko	Kd	6.523	0.971	0.409
3tay	Kd	3.377	0.500	0.269
4b0b	Kd	3.328	0.500	0.150
4b5t	Kd	3.328	0.500	0.113
4b5w	Kd	3.328	0.500	0.119
4der	Kd	6.310	0.681	0.335
4erf	Kd	9.398	0.980	0.509
4eu0	Kd	6.398	0.835	0.243
3vhd	Kd	9.284	0.987	0.553
4etz	Kd	6.301	0.617	0.240
4aq4	Kd	6.167	0.581	0.181
3sfg	Kd	6.063	0.644	0.163
4gah	Kd	6.097	0.916	0.277
4g0p	Kd	3.009	0.692	0.260
4ara	Kd	6.046	0.870	0.255
4fm8	Kd	5.975	0.980	0.556
3uil	Kd	6.000	0.500	0.149
4dst	Kd	2.959	0.500	0.285
4ai5	Kd	2.921	0.500	0.177
3vhc	Kd	8.886	0.979	0.549
4arb	Kd	5.886	0.818	0.250
4des	Kd	5.854	0.690	0.323
3udh	Kd	2.854	0.952	0.429
4dsu	Kd	2.824	0.500	0.260
4fxq	Kd	5.770	0.639	0.238
4dkp	Kd	5.721	0.965	0.393
3qbc	Kd	4.967	0.825	0.342
3zsq	Kd	4.963	0.708	0.438
4agm	Kd	3.979	0.927	0.513
4agn	Kd	3.971	0.954	0.525
3t0x	Kd	8.000	0.734	0.244
4dmw	Kd	4.943	0.716	0.233
4hbm	Kd	7.921	0.983	0.491
4g8m	Kd	7.893	0.754	0.350
3uyr	Kd	6.896	0.836	0.332
4aj4	Kd	3.886	0.500	0.167
3zt3	Kd	2.862	0.588	0.278
3zt2	Kd	2.843	0.669	0.287
4ago	Kd	4.810	0.972	0.545
4aba	Kd	3.815	0.985	0.542
4fys	Kd	4.824	0.978	0.237
4ajl	Kd	3.796	0.557	0.181
3vjc	Kd	7.724	0.500	0.203
4flp	Kd	6.721	0.974	0.525
4a4w	Kd	7.721	0.927	0.428
4ht0	Kd	8.000	0.958	0.543
4egk	Kd	7.721	0.977	0.529
4det	Kd	5.678	0.651	0.323
4deu	Kd	5.640	0.683	0.333
2yhw	Kd	5.602	0.673	0.183
3r5t	Kd	8.577	0.930	0.348
3ubd	Kd	5.538	0.812	0.321
3umq	Kd	4.618	0.500	0.115
3v78	Kd	5.538	0.509	0.214
4agp	Kd	4.686	0.971	0.535
4aje	Kd	3.678	0.500	0.144
4aia	Kd	3.658	0.500	0.177
3tif	Kd	5.377	0.862	0.323
4fl2	Kd	3.658	0.955	0.361
4agl	Kd	3.648	0.793	0.411
2yme	Kd	7.658	0.528	0.224
4gq4	Kd	7.658	0.851	0.279
4avi	Kd	7.627	0.978	0.576
4dbm	Kd	7.620	0.574	0.217
3tk2	Kd	4.620	0.570	0.222
3u90	Kd	4.620	0.500	0.230
4abf	Kd	4.620	0.983	0.542
4ad3	Kd	4.620	0.792	0.285
4fnn	Kd	7.565	0.500	0.164
4abg	Kd	3.567	0.989	0.554
4aji	Kd	3.553	0.576	0.142
3uo4	Kd	6.524	0.892	0.405
4b76	Kd	4.538	0.693	0.210
4emr	Kd	7.493	0.571	0.251
4eo6	Kd	8.699	0.754	0.318
4g0q	Kd	2.523	0.876	0.298
3ttm	Kd	8.523	0.500	0.177
4f5y	Kd	5.432	0.722	0.271
4gzw	Kd	4.523	0.876	0.227
4abb	Kd	4.509	0.988	0.558
4e67	Kd	6.481	0.674	0.359
3r7o	Kd	8.357	0.987	0.459
4kp5	Kd	6.079	0.783	0.350
4epy	Kd	3.469	0.733	0.369
3t2w	Kd	7.456	0.500	0.234
4avj	Kd	7.438	0.983	0.539
4ffs	Kd	10.444	0.892	0.336
4axd	Kd	4.432	0.827	0.257
4f7v	Kd	5.381	0.972	0.457
3tkw	Kd	5.268	0.994	0.644
2yi7	Kd	8.319	0.981	0.561
4g0y	Kd	2.302	0.539	0.272
4abe	Kd	3.398	0.984	0.513
3re4	Kd	7.398	0.878	0.308
3up2	Kd	7.398	0.880	0.376
3tsk	Kd	7.174	0.960	0.476
3vha	Kd	7.398	0.970	0.550
4abd	Kd	4.398	0.983	0.546
4ab9	Kd	3.332	0.981	0.553
3uod	Kd	7.310	0.812	0.365
4ahu	Kd	2.268	0.539	0.173
3ug2	Kd	8.252	0.961	0.423
4b1j	Kd	7.301	0.619	0.244
3upk	Kd	4.301	0.642	0.264
4i3z	Kd	4.290	0.978	0.541
3ttp	Kd	9.125	0.988	0.524
3zsx	Kd	3.285	0.711	0.431
4fl1	Kd	3.284	0.967	0.498
4fm7	Kd	7.244	0.983	0.545
4avh	Kd	7.225	0.980	0.597
4ap7	Ki	7.959	0.979	0.500
3zsy	Kd	3.225	0.708	0.413
3upv	Kd	5.301	0.500	0.360
4g0z	Kd	2.213	0.632	0.273
4a6s	Kd	5.201	0.500	0.246
4ahs	Kd	2.194	0.584	0.191
4ahr	Kd	2.187	0.578	0.185
4duh	Kd	5.180	0.952	0.426
4av5	Kd	7.215	0.980	0.523
4ad2	Kd	6.204	0.727	0.253
4g8n	Kd	7.201	0.880	0.345
4gzx	Kd	3.190	0.720	0.217
2ymd	Kd	3.159	0.500	0.138
4aci	Kd	2.222	0.500	0.215
2yi0	Kd	8.125	0.981	0.568
3zso	Kd	5.119	0.739	0.431
4f1l	Kd	5.119	0.733	0.325
4abh	Kd	4.149	0.984	0.545
3v4t	Kd	4.114	0.643	0.211
3udd	Kd	7.102	0.989	0.575
4eo8	Kd	8.155	0.756	0.311
4dcs	Kd	5.097	0.880	0.327
3usx	Kd	5.021	0.500	0.158
3tb6	Kd	5.076	0.500	0.220
2yfa	Kd	5.071	0.631	0.158
4fxp	Kd	4.095	0.873	0.288
4emf	Kd	7.076	0.642	0.261
3tz0	Kd	5.036	0.500	0.193
3vje	Kd	8.013	0.702	0.275
3utu	Ki	10.921	0.991	0.472
3uw5	Ki	7.854	0.842	0.427
4agq	Kd	5.013	0.966	0.522
4av4	Kd	7.025	0.988	0.572
4b8y	Kd	8.046	0.859	0.330
4euo	Kd	5.046	0.606	0.197
4a7i	Ki	8.699	0.989	0.589
4djr	Ki	11.523	0.994	0.674
4aoi	Ki	8.398	0.984	0.535
3vd4	Ki	4.824	0.750	0.143
4gid	Ki	10.770	0.988	0.547
3uw4	Ki	7.770	0.880	0.397
4ase	Ki	11.000	0.988	0.502
4agc	Ki	10.699	0.987	0.498
3t5u	Ki	7.585	0.617	0.287
4djp	Ki	10.553	0.993	0.644
4e7r	Ki	7.699	0.990	0.481
4dq2	Ki	7.523	0.926	0.292
4djq	Ki	10.319	0.993	0.657
3t0b	Ki	4.301	0.706	0.149
4app	Ki	7.194	0.942	0.461
3uz5	Ki	7.222	0.500	0.292
3vd9	Ki	4.000	0.740	0.147
3t09	Ki	3.796	0.643	0.169
4djv	Ki	6.721	0.983	0.528
3t2q	Ki	3.658	0.678	0.186
2yfe	Ki	6.627	0.921	0.448
3s54	Ki	9.638	0.989	0.584
4b7r	Ki	9.638	0.905	0.348
4ax9	Ki	9.569	0.989	0.467
4de0	Ki	5.886	0.833	0.408
3tfn	Ki	6.569	0.893	0.348
4fk6	Ki	9.699	0.942	0.523
3t64	Ki	6.699	0.500	0.248
3t60	Ki	6.699	0.540	0.260
3qdd	Ki	8.770	0.981	0.554
3tfp	Ki	6.469	0.883	0.330
4ea2	Ki	6.444	0.805	0.309
3pwk	Ki	3.347	0.685	0.207
3vf5	Ki	9.337	0.992	0.644
4a4q	Ki	9.398	0.991	0.586
2y8c	Ki	6.398	0.666	0.264
4asd	Ki	9.284	0.987	0.495
4djw	Ki	6.276	0.982	0.518
4dv8	Ki	9.237	0.888	0.332
3vh9	Ki	6.237	0.613	0.220
3t70	Ki	6.301	0.500	0.246
3vfa	Ki	9.187	0.992	0.615
4e4l	Ki	8.770	0.943	0.562
4b9k	Ki	6.174	0.965	0.348
3su3	Ki	9.131	0.881	0.349
3vf7	Ki	9.097	0.993	0.625
3sue	Ki	9.076	0.784	0.350
3t08	Ki	3.041	0.776	0.155
3vfb	Ki	9.036	0.994	0.628
4e4n	Ki	9.046	0.947	0.548
3u6h	Ki	9.000	0.981	0.460
3su0	Ki	6.790	0.877	0.352
3v5p	Ki	8.959	0.994	0.400
4ag8	Ki	8.959	0.987	0.518
4de1	Ki	5.959	0.831	0.401
4e6d	Ki	8.921	0.968	0.572
3zv7	Ki	5.921	0.502	0.204
4gqq	Ki	2.886	0.500	0.261
4do5	Ki	5.830	0.500	0.189
3qqs	Ki	5.824	0.500	0.232
4dld	Ki	5.824	0.828	0.399
4e9u	Ki	5.824	0.825	0.300
