PDB_ID	Binding_Type	pK	Max_Prediction
3vhc	Kd	8.886	0.979
4arb	Kd	5.886	0.818
4des	Kd	5.854	0.690
3udh	Kd	2.854	0.952
4dsu	Kd	2.824	0.500
4fxq	Kd	5.770	0.639
4dkp	Kd	5.721	0.965
3qbc	Kd	4.967	0.825
3zsq	Kd	4.963	0.708
4agm	Kd	3.979	0.927
4agn	Kd	3.971	0.954
3t0x	Kd	8.000	0.734
4dmw	Kd	4.943	0.716
4hbm	Kd	7.921	0.983
4g8m	Kd	7.893	0.754
3uyr	Kd	6.896	0.836
4aj4	Kd	3.886	0.500
3zt3	Kd	2.862	0.588
3zt2	Kd	2.843	0.669
4ago	Kd	4.810	0.972
4aba	Kd	3.815	0.985
4fys	Kd	4.824	0.978
4ajl	Kd	3.796	0.557
3vjc	Kd	7.724	0.500
4flp	Kd	6.721	0.974
4a4w	Kd	7.721	0.927
4ht0	Kd	8.000	0.958
4egk	Kd	7.721	0.977
4det	Kd	5.678	0.651
4deu	Kd	5.640	0.683
2yhw	Kd	5.602	0.673
3r5t	Kd	8.577	0.930
3ubd	Kd	5.538	0.812
3umq	Kd	4.618	0.500
3v78	Kd	5.538	0.509
4agp	Kd	4.686	0.971
4aje	Kd	3.678	0.500
4aia	Kd	3.658	0.500
3tif	Kd	5.377	0.862
4fl2	Kd	3.658	0.955
4agl	Kd	3.648	0.793
2yme	Kd	7.658	0.528
4gq4	Kd	7.658	0.851
4avi	Kd	7.627	0.978
4dbm	Kd	7.620	0.574
3tk2	Kd	4.620	0.570
3u90	Kd	4.620	0.500
4abf	Kd	4.620	0.983
4ad3	Kd	4.620	0.792
4fnn	Kd	7.565	0.500
4abg	Kd	3.567	0.989
4aji	Kd	3.553	0.576
3uo4	Kd	6.524	0.892
4b76	Kd	4.538	0.693
4emr	Kd	7.493	0.571
4eo6	Kd	8.699	0.754
4g0q	Kd	2.523	0.876
3ttm	Kd	8.523	0.500
4f5y	Kd	5.432	0.722
4gzw	Kd	4.523	0.876
4abb	Kd	4.509	0.988
4e67	Kd	6.481	0.674
3r7o	Kd	8.357	0.987
4kp5	Kd	6.079	0.783
4epy	Kd	3.469	0.733
3t2w	Kd	7.456	0.500
4avj	Kd	7.438	0.983
4ffs	Kd	10.444	0.892
4axd	Kd	4.432	0.827
4f7v	Kd	5.381	0.972
3tkw	Kd	5.268	0.994
2yi7	Kd	8.319	0.981
4g0y	Kd	2.302	0.539
4abe	Kd	3.398	0.984
3re4	Kd	7.398	0.878
3up2	Kd	7.398	0.880
3tsk	Kd	7.174	0.960
3vha	Kd	7.398	0.970
4abd	Kd	4.398	0.983
4ab9	Kd	3.332	0.981
3uod	Kd	7.310	0.812
4ahu	Kd	2.268	0.539
3ug2	Kd	8.252	0.961
4b1j	Kd	7.301	0.619
3upk	Kd	4.301	0.642
4i3z	Kd	4.290	0.978
3ttp	Kd	9.125	0.988
3zsx	Kd	3.285	0.711
4fl1	Kd	3.284	0.967
4fm7	Kd	7.244	0.983
4avh	Kd	7.225	0.980
4ap7	Ki	7.959	0.979
3zsy	Kd	3.225	0.708
3upv	Kd	5.301	0.500
4g0z	Kd	2.213	0.632
4a6s	Kd	5.201	0.500
4ahs	Kd	2.194	0.584
4ahr	Kd	2.187	0.578
4duh	Kd	5.180	0.952
4av5	Kd	7.215	0.980
4ad2	Kd	6.204	0.727
4g8n	Kd	7.201	0.880
4gzx	Kd	3.190	0.720
2ymd	Kd	3.159	0.500
4aci	Kd	2.222	0.500
2yi0	Kd	8.125	0.981
3zso	Kd	5.119	0.739
4f1l	Kd	5.119	0.733
4abh	Kd	4.149	0.984
3v4t	Kd	4.114	0.643
3udd	Kd	7.102	0.989
4eo8	Kd	8.155	0.756
4dcs	Kd	5.097	0.880
3usx	Kd	5.021	0.500
3tb6	Kd	5.076	0.500
2yfa	Kd	5.071	0.631
4fxp	Kd	4.095	0.873
4emf	Kd	7.076	0.642
3tz0	Kd	5.036	0.500
3vje	Kd	8.013	0.702
3utu	Ki	10.921	0.991
3uw5	Ki	7.854	0.842
4agq	Kd	5.013	0.966
4av4	Kd	7.025	0.988
4b8y	Kd	8.046	0.859
4euo	Kd	5.046	0.606
4a7i	Ki	8.699	0.989
4djr	Ki	11.523	0.994
4aoi	Ki	8.398	0.984
3vd4	Ki	4.824	0.750
4gid	Ki	10.770	0.988
3uw4	Ki	7.770	0.880
4ase	Ki	11.000	0.988
4agc	Ki	10.699	0.987
3t5u	Ki	7.585	0.617
4djp	Ki	10.553	0.993
4e7r	Ki	7.699	0.990
4dq2	Ki	7.523	0.926
4djq	Ki	10.319	0.993
3t0b	Ki	4.301	0.706
4app	Ki	7.194	0.942
3uz5	Ki	7.222	0.500
3vd9	Ki	4.000	0.740
3t09	Ki	3.796	0.643
4djv	Ki	6.721	0.983
3t2q	Ki	3.658	0.678
2yfe	Ki	6.627	0.921
3s54	Ki	9.638	0.989
4b7r	Ki	9.638	0.905
4ax9	Ki	9.569	0.989
4de0	Ki	5.886	0.833
3tfn	Ki	6.569	0.893
4fk6	Ki	9.699	0.942
3t64	Ki	6.699	0.500
3t60	Ki	6.699	0.540
3qdd	Ki	8.770	0.981
3tfp	Ki	6.469	0.883
4ea2	Ki	6.444	0.805
3pwk	Ki	3.347	0.685
3vf5	Ki	9.337	0.992
4a4q	Ki	9.398	0.991
2y8c	Ki	6.398	0.666
4asd	Ki	9.284	0.987
4djw	Ki	6.276	0.982
4dv8	Ki	9.237	0.888
3vh9	Ki	6.237	0.613
3t70	Ki	6.301	0.500
3vfa	Ki	9.187	0.992
4e4l	Ki	8.770	0.943
4b9k	Ki	6.174	0.965
3su3	Ki	9.131	0.881
3vf7	Ki	9.097	0.993
3sue	Ki	9.076	0.784
3t08	Ki	3.041	0.776
3vfb	Ki	9.036	0.994
4e4n	Ki	9.046	0.947
3u6h	Ki	9.000	0.981
3su0	Ki	6.790	0.877
3v5p	Ki	8.959	0.994
4ag8	Ki	8.959	0.987
4de1	Ki	5.959	0.831
4e6d	Ki	8.921	0.968
3zv7	Ki	5.921	0.502
4gqq	Ki	2.886	0.500
4do5	Ki	5.830	0.500
3qqs	Ki	5.824	0.500
4dld	Ki	5.824	0.828
4e9u	Ki	5.824	0.825
4g8v	Ki	5.796	0.736
4a95	Ki	5.762	0.886
4ei4	Ki	8.745	0.927
4dfg	Ki	11.745	0.993
3ts4	Ki	8.721	0.965
3shc	Ki	5.721	0.989
4e3g	Ki	4.975	0.749
4b6o	Ki	7.000	0.916
4fai	Ki	6.994	0.872
4a6l	Ki	8.000	0.818
4ehz	Ki	8.000	0.929
4b7j	Ki	7.955	0.888
3uxk	Ki	4.932	0.500
4hge	Ki	7.924	0.973
4gqr	Ki	3.959	0.500
3twp	Ki	3.924	0.500
3uuo	Ki	7.959	0.955
3veh	Ki	4.959	0.500
4b5d	Ki	7.893	0.776
4a6c	Ki	7.921	0.990
3rv8	Ki	4.921	0.500
4gzt	Ki	7.770	0.918
3si4	Ki	3.879	0.989
3spf	Ki	3.860	0.800
4gzp	Ki	7.845	0.915
4b6r	Ki	5.848	0.500
3sut	Ki	7.854	0.917
3r88	Ki	4.824	0.512
3tzm	Ki	7.770	0.973
3tvc	Ki	7.745	0.923
4f39	Ki	5.703	0.792
3u6i	Ki	9.000	0.982
3uri	Ki	9.000	0.885
4h3f	Ki	9.000	0.986
4hf4	Ki	8.620	0.957
3s43	Ki	8.597	0.991
3sxf	Ki	8.602	0.986
3t3u	Ki	8.602	0.986
4unp	Kd	3.229	0.561
4efs	Ki	8.602	0.961
3sha	Ki	5.585	0.989
3v7x	Ki	8.569	0.941
3uxl	Ki	5.569	0.524
3uzj	Ki	5.550	0.673
3v51	Ki	8.553	0.962
4f09	Ki	6.699	0.969
3su1	Ki	6.682	0.770
4acc	Ki	7.699	0.887
4fsl	Ki	7.699	0.986
3suw	Ki	4.699	0.903
4gkh	Ki	4.668	0.781
3qtv	Ki	4.648	0.989
4e5w	Ki	7.658	0.954
4g8y	Ki	4.588	0.787
3vhk	Ki	4.602	0.979
4bc5	Ki	4.602	0.500
3su5	Ki	5.579	0.784
3suf	Ki	7.556	0.699
4fs4	Ki	6.569	0.982
3rr4	Ki	4.552	0.946
3suv	Ki	4.553	0.792
3vdb	Ki	2.519	0.647
3s45	Ki	8.489	0.977
4dju	Ki	5.444	0.978
4fev	Ki	5.420	0.840
4g90	Ki	4.511	0.778
3u92	Ki	7.484	0.806
4knj	Kd	7.955	0.951
4dhl	Ki	4.481	0.594
4gki	Ki	4.463	0.827
3qw5	Ki	6.446	0.816
4dff	Ki	7.456	0.958
4i8n	Ki	4.456	0.959
3u81	Ki	4.444	0.974
3rbu	Ki	9.432	0.500
4dsy	Ki	4.432	0.611
4ek9	Ki	4.420	0.858
4exs	Ki	4.409	0.744
3t0d	Ki	2.367	0.664
3s5y	Ki	7.408	0.557
3uxd	Ki	4.406	0.732
3suu	Ki	8.523	0.917
4djo	Ki	11.523	0.993
4en4	Ki	5.523	0.540
4a6b	Ki	8.377	0.989
4e0x	Ki	7.119	0.740
4e6q	Ki	8.357	0.967
3su2	Ki	7.349	0.844
3s6t	Ki	7.347	0.811
3u93	Ki	6.306	0.929
3tt4	Ki	8.276	0.929
4djy	Ki	8.268	0.976
4eoh	Ki	4.301	0.625
4do4	Ki	7.292	0.500
4alx	Ki	7.284	0.500
3qwc	Ki	4.256	0.989
3su4	Ki	6.256	0.816
4ha5	Ki	7.237	0.979
4djx	Ki	7.229	0.982
3t3c	Ki	10.229	0.985
4afg	Ki	8.301	0.844
4few	Ki	5.208	0.786
4gg7	Ki	8.201	0.982
3uu1	Ki	5.201	0.500
3sug	Ki	6.208	0.879
3qx5	Ki	4.197	0.989
3sv2	Ki	4.194	0.988
3si3	Ki	4.159	0.987
3v5t	Ki	8.222	0.984
4knn	Kd	7.777	0.950
4h3g	Ki	8.222	0.983
3sur	Ki	4.155	0.876
3sus	Ki	4.149	0.882
3qto	Ki	4.126	0.989
4b6p	Ki	7.131	0.938
4de2	Ki	4.119	0.816
3vbd	Ki	8.066	0.937
4b9z	Ki	4.089	0.580
4h3j	Ki	7.046	0.984
4f9u	Ki	6.025	0.776
3su6	Ki	6.019	0.861
4b6s	Ki	6.013	0.806
4f6w	Kd	7.523	0.972
3zi0	Kd	7.398	0.689
4ly1	Kd	7.258	0.977
4ggz	Kd	10.180	0.500
4i9h	Kd	7.167	0.844
4ko8	Kd	7.155	0.800
4k9y	Kd	6.955	0.959
4i54	Kd	6.959	0.978
4jyb	Kd	6.959	0.838
4loh	Kd	6.959	0.769
4g4p	Kd	6.886	0.500
4loi	Kd	6.770	0.742
4lxz	Kd	6.740	0.952
4lhv	Kd	10.000	0.973
4jyc	Kd	6.699	0.813
3zhx	Kd	6.678	0.500
4iuo	Kd	3.638	0.500
4btk	Kd	6.620	0.914
4gqp	Kd	9.602	0.578
4iue	Kd	6.553	0.987
4io2	Kd	6.699	0.500
4b7p	Kd	9.461	0.984
4n07	Kd	6.456	0.847
4jfk	Kd	6.444	0.791
3zll	Kd	6.403	0.553
3w07	Kd	3.377	0.698
4b33	Kd	3.367	0.644
3v2p	Kd	6.357	0.672
4b32	Kd	3.337	0.622
3zk6	Kd	6.337	0.788
3w9k	Kd	6.319	0.500
3v2q	Kd	6.292	0.758
4f0c	Kd	6.268	0.819
3zlr	Kd	9.260	0.760
4b2l	Kd	3.244	0.500
4ddh	Kd	3.301	0.551
4e1k	Kd	6.301	0.850
4bqg	Kd	6.222	0.966
4k6i	Kd	6.201	0.948
4fht	Kd	6.174	0.500
4de5	Kd	3.155	0.500
4f6u	Kd	6.155	0.965
4b34	Kd	3.137	0.500
4k4j	Kd	6.124	0.955
4hp0	Kd	6.119	0.500
4kao	Kd	6.114	0.881
4km2	Kd	5.845	0.965
4fzj	Kd	3.155	0.500
4io3	Kd	6.060	0.500
4l50	Kd	6.056	0.728
3v2n	Kd	6.097	0.601
4km0	Kd	6.041	0.944
4l4v	Kd	5.783	0.529
4g5f	Kd	3.046	0.500
4kqp	Kd	6.046	0.500
4az5	Kd	5.991	0.921
4nkt	Kd	5.967	0.675
4b2i	Kd	3.000	0.527
4ezx	Kd	5.796	0.851
4lkk	Kd	5.921	0.562
4ef6	Kd	2.921	0.616
4azc	Kd	5.860	0.555
4jne	Kd	5.860	0.891
4b35	Kd	2.886	0.500
4ceb	Kd	2.967	0.698
4lps	Kd	5.745	0.702
4br3	Kd	5.721	0.696
4knm	Kd	8.000	0.962
4bcs	Kd	6.987	0.500
4i7l	Kd	3.987	0.500
4att	Kd	6.980	0.990
4bup	Kd	4.951	0.877
4ido	Kd	4.934	0.695
4bi6	Kd	3.946	0.949
4mr3	Kd	5.942	0.973
4igt	Kd	7.893	0.773
4ipj	Kd	4.870	0.500
3w5n	Kd	3.870	0.500
4i9u	Kd	3.863	0.706
4hpi	Kd	4.848	0.500
3vvy	Kd	4.836	0.728
4k3h	Kd	6.854	0.500
4kn1	Kd	6.842	0.500
4ieh	Kd	7.854	0.701
4j7e	Kd	4.854	0.966
4io6	Kd	4.821	0.500
4aq6	Kd	4.801	0.500
4bks	Kd	3.824	0.884
3vx3	Kd	7.824	0.757
4kni	Kd	7.777	0.962
4ad6	Kd	4.777	0.581
4j3l	Kd	7.796	0.990
3vw2	Kd	4.747	0.756
4kax	Kd	4.770	0.877
4auj	Kd	7.738	0.981
4ayu	Kd	4.730	0.500
4fz3	Kd	3.734	0.865
4f9y	Kd	6.735	0.943
4j22	Kd	7.745	0.990
4ih6	Kd	4.745	0.886
4ljh	Kd	4.712	0.615
4k0o	Kd	3.000	0.500
4bb9	Kd	6.000	0.848
4b3c	Kd	2.678	0.500
4b3d	Kd	2.678	0.500
4jn2	Kd	11.678	0.803
4l4z	Kd	5.678	0.641
3zi8	Kd	5.658	0.500
4i8x	Kd	2.638	0.600
4jx9	Kd	8.620	0.614
4c6u	Kd	4.592	0.701
4b3b	Kd	3.602	0.826
4dzy	Kd	5.620	0.500
4bqh	Kd	5.588	0.899
4kmz	Kd	8.569	0.518
4hj2	Kd	2.530	0.745
4nxu	Kd	5.538	0.705
4lar	Kd	4.684	0.500
4j7d	Kd	4.699	0.931
4j93	Kd	4.699	0.533
4luz	Kd	4.699	0.671
4del	Kd	7.676	0.663
3vw1	Kd	4.674	0.777
4nku	Kd	4.672	0.588
4io7	Kd	3.676	0.500
2ypo	Kd	4.678	0.500
4io4	Kd	4.611	0.500
4bkt	Kd	3.620	0.896
4mr6	Kd	6.600	0.987
4jal	Kd	4.602	0.763
4bi7	Kd	4.578	0.694
4ht2	Kd	6.538	0.710
4hu1	Kd	7.538	0.952
4k55	Kd	5.514	0.500
4efk	Kd	2.495	0.500
3zdv	Kd	5.481	0.576
4jfm	Kd	5.481	0.763
3zln	Kd	8.469	0.773
4n7m	Kd	5.469	0.776
4ddm	Kd	2.456	0.517
4ksy	Kd	8.421	0.830
4nxv	Kd	5.420	0.852
4i7p	Kd	3.499	0.671
4mme	Kd	6.498	0.500
4ipi	Kd	5.319	0.505
4avs	Kd	3.492	0.500
4l6t	Kd	7.495	0.576
4kp8	Kd	5.478	0.768
4azi	Kd	7.449	0.757
4ge1	Kd	6.432	0.500
4ipn	Kd	3.389	0.783
4jpy	Kd	4.432	0.570
4kcx	Kd	4.432	0.985
3zm9	Kd	7.420	0.687
4j21	Kd	7.409	0.985
4ej8	Kd	5.387	0.677
4jwk	Kd	8.320	0.815
4kn0	Kd	7.398	0.540
4hfp	Kd	7.377	0.987
4gu9	Kd	4.367	0.878
4gu6	Kd	7.357	0.928
4nbn	Kd	4.357	0.895
4azb	Kd	7.239	0.942
4ayq	Kd	7.328	0.509
4i7j	Kd	3.319	0.500
4kow	Kd	4.307	0.943
4bj8	Kd	8.290	0.500
4ddk	Kd	2.292	0.500
4ezr	Kd	5.201	0.761
4ezz	Kd	5.194	0.865
4e70	Kd	5.279	0.500
4idn	Kd	5.239	0.745
4kfq	Kd	8.232	0.871
4gue	Kd	5.237	0.773
4ih7	Kd	5.237	0.701
4n5d	Kd	3.217	0.780
4gny	Kd	4.222	0.810
4nra	Kd	4.187	0.898
4jkw	Kd	4.156	0.500
4jpx	Kd	5.155	0.571
4h85	Kd	5.155	0.500
4ejl	Kd	5.143	0.899
4h81	Kd	5.125	0.500
4c1t	Kd	7.150	0.674
4i7m	Kd	4.143	0.501
4cgi	Kd	3.124	0.721
4ayp	Kd	6.122	0.568
4kzq	Kd	6.103	0.988
4ih5	Kd	4.108	0.914
4azg	Kd	7.102	0.716
4loo	Kd	8.155	0.923
4ly9	Kd	8.155	0.786
4h7q	Kd	5.056	0.500
4c1u	Kd	7.092	0.583
4jym	Kd	5.043	0.859
4lk7	Kd	5.041	0.567
4io5	Kd	5.033	0.500
4np9	Kd	5.027	0.500
4i7k	Kd	3.043	0.500
4bny	Ki	7.097	0.870
4l51	Kd	3.002	0.637
4gbd	Ki	11.319	0.516
4gih	Ki	8.319	0.963
4kb9	Ki	11.000	0.994
4fp1	Ki	4.569	0.532
4gfm	Ki	7.222	0.930
4baq	Ki	9.009	0.992
4bcm	Ki	6.910	0.990
4bco	Ki	6.883	0.992
4ew3	Ki	6.745	0.989
4ivc	Ki	10.000	0.941
4isu	Ki	3.678	0.860
4ew2	Ki	6.678	0.989
4gfo	Ki	6.620	0.925
4gql	Ki	9.585	0.964
4gr0	Ki	9.553	0.970
4hw3	Ki	6.495	0.938
4da5	Ki	6.444	0.708
4i72	Ki	9.046	0.500
4ivd	Ki	9.523	0.943
4ca5	Ki	9.387	0.961
4bt4	Ki	3.337	0.500
4mss	Ki	6.398	0.659
4jia	Ki	9.222	0.969
4m0e	Ki	6.222	0.873
4mdn	Ki	6.222	0.989
4bt3	Ki	3.119	0.500
4az6	Ki	9.097	0.959
4hws	Ki	9.097	0.545
4jh0	Ki	9.027	0.865
4bps	Ki	2.991	0.500
4bam	Ki	8.943	0.992
4k18	Ki	8.959	0.984
4heg	Ki	8.921	0.993
4bak	Ki	8.914	0.992
4kyh	Ki	5.921	0.695
4gj3	Ki	8.854	0.975
4i5c	Ki	8.824	0.945
4ks1	Ki	8.824	0.890
4f3c	Ki	11.824	0.782
4bt5	Ki	2.764	0.500
4m0f	Ki	8.770	0.785
4j45	Ki	5.770	0.500
4j44	Ki	5.728	0.500
4gii	Ki	8.745	0.975
4ish	Ki	8.721	0.977
4ivb	Ki	8.721	0.938
3zcl	Ki	7.996	0.983
4mo8	Ki	7.996	0.940
4in9	Ki	4.971	0.952
4i74	Ki	6.721	0.543
4f9w	Ki	6.943	0.941
4k3n	Ki	7.959	0.574
4jsa	Ki	4.959	0.672
4j47	Ki	4.920	0.500
4i8w	Ki	10.896	0.993
4bcn	Ki	7.921	0.981
3zps	Ki	8.301	0.991
4mjp	Ki	3.883	0.500
3wjw	Ki	3.873	0.699
4gr8	Ki	7.833	0.968
4iic	Ki	4.854	0.500
4eb8	Ki	9.821	0.644
4cg8	Kd	6.959	0.792
4k0y	Ki	7.824	0.987
4n6z	Ki	7.796	0.988
4hla	Ki	10.796	0.993
4hwp	Ki	7.764	0.575
4ca6	Ki	6.745	0.935
4i71	Ki	7.745	0.500
4kyk	Ki	4.745	0.718
4bah	Ki	8.697	0.991
4j28	Ki	5.699	0.661
4j48	Ki	5.618	0.597
4ban	Ki	8.614	0.992
4ndu	Kd	2.745	0.500
4iid	Ki	5.620	0.500
4gj2	Ki	8.602	0.964
3vtr	Ki	5.566	0.667
4hwo	Ki	8.538	0.569
4ca8	Ki	6.678	0.869
4hzm	Ki	4.635	0.918
4k77	Ki	6.629	0.919
4lch	Ki	10.620	0.930
4hy1	Ki	8.699	0.954
4bs0	Ki	5.699	0.702
4hdf	Ki	8.495	0.992
4m2r	Ki	8.495	0.968
4hdp	Ki	7.510	0.993
4kzu	Ki	6.504	0.988
4h42	Ki	3.467	0.979
4k5p	Ki	3.462	0.660
3znr	Ki	7.444	0.963
4m2v	Ki	7.444	0.954
3zns	Ki	7.409	0.965
4bao	Ki	8.368	0.992
3zpu	Ki	8.377	0.991
4iie	Ki	2.337	0.500
4ca7	Ki	7.357	0.881
4lvt	Ki	10.357	0.604
3zdh	Ki	7.347	0.500
4bck	Ki	8.398	0.987
4ij1	Ki	5.398	0.737
4f2w	Ki	11.301	0.776
4j46	Ki	5.281	0.500
4jfs	Ki	5.268	0.668
4jsz	Ki	2.301	0.682
4eor	Ki	6.301	0.988
4jss	Ki	3.301	0.601
4iwz	Ki	7.292	0.955
4m2w	Ki	7.284	0.920
4bcp	Ki	6.246	0.990
4lxd	Ki	7.229	0.597
4lko	Ki	8.222	0.811
3w37	Ki	5.175	0.582
4iif	Ki	5.180	0.500
4gkm	Ki	5.167	0.600
4elg	Ki	8.161	0.964
4bqs	Ki	4.208	0.500
4n9a	Ki	4.194	0.500
4iva	Ki	7.165	0.970
4f3k	Ki	10.161	0.820
3zbx	Ki	8.222	0.981
4hym	Ki	8.222	0.908
4lrr	Ki	5.222	0.563
4isi	Ki	8.137	0.985
4ks4	Ki	7.143	0.909
3zc5	Ki	7.131	0.982
4kx8	Ki	7.131	0.755
4kxb	Ki	4.125	0.930
3zdg	Ki	7.102	0.500
4elh	Ki	8.086	0.969
4hdb	Ki	8.051	0.994
4i8z	Ki	11.051	0.993
4m2u	Ki	8.041	0.945
4elf	Ki	8.027	0.961
4qyy	Kd	7.301	0.976
4mo4	Kd	4.222	0.507
4w97	Kd	7.097	0.500
4w9h	Kd	6.733	0.969
4o0a	Kd	6.721	0.659
4qnb	Kd	6.585	0.560
4w9k	Kd	6.536	0.972
4m13	Kd	6.699	0.917
4m14	Kd	6.699	0.923
4q3t	Kd	6.481	0.781
4m0y	Kd	6.456	0.904
4q3u	Kd	6.444	0.821
4d3h	Kd	6.432	0.560
4nbl	Kd	6.328	0.873
3wha	Kd	9.319	0.987
4qac	Kd	9.398	0.635
4cga	Kd	6.398	0.663
4lj5	Kd	6.292	0.745
4n7u	Kd	6.292	0.500
4r4i	Kd	6.268	0.708
4r4t	Kd	6.260	0.666
4w9j	Kd	6.231	0.973
4np3	Kd	3.301	0.500
4oag	Kd	6.301	0.809
4pow	Kd	6.301	0.818
4cg9	Kd	6.208	0.530
4q6e	Kd	6.176	0.962
3w9r	Kd	6.180	0.773
4pfu	Kd	6.174	0.545
4m7j	Kd	6.107	0.532
4kxn	Kd	6.097	0.767
4m12	Kd	6.046	0.920
4p3h	Kd	6.000	0.659
4w9i	Kd	5.959	0.965
4mrg	Kd	2.959	0.500
4csd	Kd	5.910	0.500
4rdn	Kd	5.921	0.751
4u0f	Kd	5.921	0.500
4cfl	Kd	5.876	0.975
4wk1	Kd	5.886	0.500
4qdk	Kd	5.854	0.819
4rww	Kd	5.854	0.887
4lj8	Kd	5.824	0.756
4r4o	Kd	5.824	0.722
4rqk	Kd	5.824	0.887
4mn3	Kd	5.752	0.621
4q9o	Kd	5.770	0.703
4w9d	Kd	4.991	0.941
4ibc	Kd	2.979	0.913
4ibg	Kd	3.967	0.933
4nj9	Kd	6.967	0.853
4qsu	Kd	2.000	0.696
4qsv	Kd	2.000	0.500
4o2c	Kd	8.000	0.701
4poh	Kd	8.000	0.952
4rpn	Kd	6.959	0.500
4q4s	Kd	6.952	0.944
4phu	Kd	7.919	0.500
4n9c	Kd	3.900	0.742
4q0k	Kd	4.873	0.500
4nl1	Kd	3.886	0.523
4rvr	Kd	6.866	0.963
4nbk	Kd	3.866	0.793
4m8e	Kd	7.886	0.954
4l9i	Kd	4.886	0.795
4pnu	Kd	4.886	0.519
4kif	Kd	4.836	0.500
4uof	Kd	4.836	0.500
4ovh	Kd	4.854	0.500
4k7i	Kd	2.824	0.500
4mmm	Kd	3.824	0.500
4pp3	Kd	7.824	0.954
4q4q	Kd	5.785	0.940
4ogj	Kd	6.785	0.985
4qem	Kd	7.796	0.584
4pb2	Kd	4.796	0.526
4lov	Kd	7.767	0.992
4muv	Kd	5.762	0.776
4tu4	Kd	3.757	0.984
4uoh	Kd	4.770	0.500
4pum	Kd	6.726	0.946
4pp5	Kd	7.745	0.951
4mmp	Kd	7.706	0.782
4pzv	Kd	5.699	0.864
4ncn	Kd	5.674	0.959
4c52	Kd	5.678	0.744
4pft	Kd	8.638	0.527
4up5	Kd	2.602	0.500
4qf7	Kd	8.602	0.770
4o3f	Kd	5.556	0.664
4ll3	Kd	11.569	0.993
4qij	Kd	5.538	0.602
4r4c	Kd	5.538	0.654
4mgd	Kd	4.695	0.661
4tpw	Kd	4.688	0.593
4tte	Kd	3.695	0.944
4lzr	Kd	4.699	0.970
4ibd	Kd	3.668	0.916
4qxo	Kd	5.506	0.857
4cig	Kd	3.670	0.700
4v27	Kd	6.664	0.579
4w9c	Kd	4.654	0.939
4rpo	Kd	7.642	0.500
4oeu	Kd	7.658	0.618
4qev	Kd	7.658	0.984
4tt2	Kd	4.658	0.786
4lyw	Kd	6.625	0.982
4mpn	Kd	6.622	0.845
4psb	Kd	4.638	0.509
4ocq	Kd	4.607	0.816
4c1y	Kd	3.600	0.500
4cjq	Kd	3.592	0.670
4m8h	Kd	7.602	0.950
4uyf	Kd	7.602	0.915
4ck3	Kd	3.572	0.658
4trc	Kd	4.523	0.500
4cu7	Kd	7.585	0.500
4ibb	Kd	3.568	0.894
4lbu	Kd	6.559	0.977
4nvp	Kd	7.569	0.500
4qf8	Kd	7.509	0.657
4pmm	Kd	7.569	0.970
4og3	Kd	6.545	0.755
4leq	Kd	6.541	0.976
4uac	Kd	6.541	0.500
4myd	Kd	4.553	0.532
4qer	Kd	7.538	0.704
4w9f	Kd	5.485	0.960
4pf5	Kd	5.481	0.500
4n6g	Kd	5.469	0.739
4pox	Kd	5.432	0.737
4tun	Kd	5.412	0.510
4k7n	Kd	3.481	0.500
4oks	Kd	4.481	0.665
4q4o	Kd	7.465	0.946
4mq6	Kd	6.469	0.623
4tz2	Kd	3.456	0.987
4ibf	Kd	4.434	0.943
4q4r	Kd	6.433	0.955
4qgd	Kd	7.432	0.712
4wt2	Kd	10.420	0.981
4cc5	Kd	4.420	0.568
4p5z	Kd	7.406	0.969
3wgg	Kd	4.399	0.500
4pp0	Kd	4.399	0.770
4je7	Kd	6.403	0.635
4qpl	Kd	7.409	0.500
4o6w	Kd	8.523	0.753
4c5d	Kd	5.398	0.764
4us3	Kd	5.319	0.500
4q4p	Kd	6.390	0.946
4q6d	Kd	7.362	0.950
4cj4	Kd	3.365	0.655
4mnp	Kd	7.342	0.840
4muf	Kd	6.337	0.703
4ibj	Kd	4.328	0.915
4cjp	Kd	3.318	0.674
4d1j	Kd	6.314	0.696
4c9x	Kd	7.319	0.961
4np2	Kd	2.260	0.500
4u43	Kd	4.319	0.839
4nyf	Kd	7.310	0.637
4m3p	Kd	5.398	0.801
4ozj	Kd	5.398	0.811
4pin	Kd	5.398	0.763
4non	Kd	5.243	0.923
4ibk	Kd	4.298	0.923
4k7o	Kd	4.301	0.500
4o61	Kd	4.301	0.593
4ua8	Kd	6.260	0.500
4wiv	Kd	6.260	0.984
4nnr	Kd	7.260	0.500
4mre	Kd	2.194	0.500
4nja	Kd	6.222	0.869
4je8	Kd	5.215	0.606
4mul	Kd	6.215	0.672
4o9w	Kd	7.155	0.652
4buq	Kd	8.137	0.982
4pop	Kd	8.128	0.500
4v01	Kd	8.114	0.967
4ibe	Kd	4.151	0.904
4ibi	Kd	4.137	0.914
4whs	Kd	4.125	0.500
5u49	Kd	6.137	0.664
4cjr	Kd	3.101	0.702
4qew	Kd	7.066	0.984
4cs9	Kd	2.097	0.500
4poj	Kd	8.097	0.953
4w9l	Kd	5.021	0.976
4rqv	Kd	5.046	0.879
5tbe	Kd	8.975	0.973
5ttw	Kd	5.959	0.935
4uye	Kd	8.020	0.991
4ql1	Kd	7.032	0.734
